title,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url,pros_raw,pros_cleaned,cons_raw,cons_cleaned,title_raw,title_cleaned,category_ai_technology,category_management,category_culture,category_compensation,category_work_life_balance
Horrible Place to Work,2025-08-26,They promote people fast if you are a part of their clique. Good work life balance if they like you.,"I had the worst experience working here. I was blindsided with a poor performance review and given vague, unhelpful feedback that made no sense. My boss excluded me from meetings, spoke to me poorly, and held grudges whenever I made mistakes. Leadership encouraged me to “keep improving,” and offered to mentor me only to lay me off six months later. The VP was incompetent and openly said horrible things about her employees, while showing favoritism toward men in the office. Overall, leadership is a joke unprofessional, toxic, and completely lacking in accountability. I'm not sure how my boss thinks she is a good one. No diversity either and not accpeting of different kinds of people. I was told I don't fit in","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,They promote people fast if you are a part of their clique. Good work life balance if they like you.,promot fast part good life balanc,"I had the worst experience working here. I was blindsided with a poor performance review and given vague, unhelpful feedback that made no sense. My boss excluded me from meetings, spoke to me poorly, and held grudges whenever I made mistakes. Leadership encouraged me to “keep improving,” and offered to mentor me only to lay me off six months later. The VP was incompetent and openly said horrible things about her employees, while showing favoritism toward men in the office. Overall, leadership is a joke unprofessional, toxic, and completely lacking in accountability. I'm not sure how my boss thinks she is a good one. No diversity either and not accpeting of different kinds of people. I was told I don't fit in",worst experi blindsid poor perform given unhelp feedback made boss exclud spoke held grudg whenev made leadership encourag keep offer mentor lay six month vp incompet openli said horribl thing show favorit toward men leadership joke complet lack sure boss think good divers either accpet differ kind told fit,Horrible Place to Work,horribl place,False,False,False,False,False
Committed to excellence,2024-09-11,Strong commitment to walking the walk and being the best in class,Organizations can be a little silo'd with similar functions doing things differently,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Strong commitment to walking the walk and being the best in class,strong commit walk walk best class,Organizations can be a little silo'd with similar functions doing things differently,organ littl silo similar function thing differ,Committed to excellence,commit excel,False,False,False,False,False
Best Culture period. Purpose-Driven and People-First,2025-03-28,"Prologis has created a workplace that blends accountability with autonomy. The culture is hard to beat—fun, hardworking, down-to-earth, and rooted in doing the right thing. Everyone—from leadership to peers—genuinely cares about making a positive impact. We're encouraged to be ourselves, take smart risks, and support one another. It's fast-paced, but fun, and a shared sense of pride in leaving the world better than we found it. The global scope of the business adds exciting meaning to the work. You feel part of something much bigger than yourself, with real impact felt across communities.","Like any high-performing environment, things move quickly. Those who prefer a slower pace or a lot of handholding may find it challenging. You’ll thrive here if you’re self-motivated and collaborative.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis has created a workplace that blends accountability with autonomy. The culture is hard to beat—fun, hardworking, down-to-earth, and rooted in doing the right thing. Everyone—from leadership to peers—genuinely cares about making a positive impact. We're encouraged to be ourselves, take smart risks, and support one another. It's fast-paced, but fun, and a shared sense of pride in leaving the world better than we found it. The global scope of the business adds exciting meaning to the work. You feel part of something much bigger than yourself, with real impact felt across communities.",prolog creat workplac blend account cultur hard beat root right everyon leadership peer genuin care make posit encourag take smart support fast share sens pride leav world better found global scope busi add excit mean feel part someth much bigger real impact felt across,"Like any high-performing environment, things move quickly. Those who prefer a slower pace or a lot of handholding may find it challenging. You’ll thrive here if you’re self-motivated and collaborative.",high perform thing move prefer slower pace lot handhold may find thrive self motiv,Best Culture period. Purpose-Driven and People-First,best cultur purpos driven first,False,True,False,False,False
Great Employer!!,2024-10-09,The majority of people I’ve worked with are so knowledgeable and willing to collaborate. There’s always something new to learn and constant opportunities to develop my skillset.,Can be really fast paced. The business sometimes moves faster than accounting can adjust to their requests. Lack of communication between departments is a struggle.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,The majority of people I’ve worked with are so knowledgeable and willing to collaborate. There’s always something new to learn and constant opportunities to develop my skillset.,major work knowledg will alway someth new learn constant opportun develop,Can be really fast paced. The business sometimes moves faster than accounting can adjust to their requests. Lack of communication between departments is a struggle.,realli fast busi sometim move faster account adjust lack commun depart,Great Employer!!,great,False,False,False,False,False
Clique,2025-08-20,Good pay and nice offices,"people very cliquey, not kind","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Good pay and nice offices,good pay nice offic,"people very cliquey, not kind",kind,Clique,cliqu,False,False,False,True,False
Great stable company,2025-05-07,The stability of Prologis is one small piece of what makes this a great place to work.,"Very few cons, has great benefits.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,The stability of Prologis is one small piece of what makes this a great place to work.,stabil prolog small piec make great place,"Very few cons, has great benefits.",great,Great stable company,great stabl,False,False,False,False,False
Nearly three years in,2024-09-11,- GREAT people - non-hierarchal mindset - interesting work - compensation / benefits - room to grow and move up,"Company is growing fast. Hope the inclusive, collaborative and supportive environment remains intact","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,- GREAT people - non-hierarchal mindset - interesting work - compensation / benefits - room to grow and move up,great non hierarch mindset interest compens benefit room grow move,"Company is growing fast. Hope the inclusive, collaborative and supportive environment remains intact",grow hope collabor support environ remain intact,Nearly three years in,nearli three year,False,False,False,True,False
Industry Leader,2025-07-17,Great culture and innovative atmosphere,Understand your department wisely and career growth,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great culture and innovative atmosphere,great cultur innov atmospher,Understand your department wisely and career growth,understand depart wise career growth,Industry Leader,industri leader,False,False,False,False,False
"Prologis is an innovative, rock solid place to work",2025-03-25,"We're constantly trying new things, pushing boundaries, learning new technologies, and looking for ways to automate. Additionally, the company is well positioned for the coming years. They also have a great working environment, nice people who are also highly intelligent, and excellent benefits.","The workload gets heavy at times. It's difficult to expand and grow teams at times, especially with local resources.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"We're constantly trying new things, pushing boundaries, learning new technologies, and looking for ways to automate. Additionally, the company is well positioned for the coming years. They also have a great working environment, nice people who are also highly intelligent, and excellent benefits.",constantli tri new push learn new look way well posit come great nice highli excel,"The workload gets heavy at times. It's difficult to expand and grow teams at times, especially with local resources.",workload get heavi difficult expand grow team especi local,"Prologis is an innovative, rock solid place to work",prolog rock solid place,False,False,False,False,False
"Great company for agile, hard-workers",2023-08-01,"Prologis is truly a world-class organization. The CEO and Founder, Hamid is a industry visionary, helping Prologis to become the global leader in industrial real estate. He leads with a confidence and thoughtfulness that inspires. On a more micro level, the individual support is excellent. The office community is friendly and helpful, with an excellent balance of hard work and fun. If you are a strong, hard-working person, you will succeed here. Folks who are not naturally driven would likely struggle.","Development work can be stressful, but that's an industry issue, not a company issue. The company is strongly focused on innovation. However, we tend to roll out initiatives before they're thoroughly tested. Instead of adopting feedback readily, it can be a painful process to provide feedback on a failed initiative during launch with leadership requesting that you ""prove your case"" instead of taking more formal note of feedback during early launch or testing. Too many of these processes add work without value and tasks to an already complicated workday.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is truly a world-class organization. The CEO and Founder, Hamid is a industry visionary, helping Prologis to become the global leader in industrial real estate. He leads with a confidence and thoughtfulness that inspires. On a more micro level, the individual support is excellent. The office community is friendly and helpful, with an excellent balance of hard work and fun. If you are a strong, hard-working person, you will succeed here. Folks who are not naturally driven would likely struggle.",prolog truli world class ceo hamid industri help prolog becom global leader industri real lead confid thought micro individu support offic commun friendli excel balanc hard hard succeed folk natur driven like,"Development work can be stressful, but that's an industry issue, not a company issue. The company is strongly focused on innovation. However, we tend to roll out initiatives before they're thoroughly tested. Instead of adopting feedback readily, it can be a painful process to provide feedback on a failed initiative during launch with leadership requesting that you ""prove your case"" instead of taking more formal note of feedback during early launch or testing. Too many of these processes add work without value and tasks to an already complicated workday.",develop industri strongli focus tend roll initi thoroughli instead adopt feedback pain process provid feedback fail initi launch leadership request prove case instead take formal note feedback earli launch mani process add without valu task alreadi complic,"Great company for agile, hard-workers",great hard worker,False,True,False,False,False
Good company to work for,2025-01-12,Cares about employees well being and development,Little opportunity for upward mobility,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Cares about employees well being and development,care employe well develop,Little opportunity for upward mobility,littl opportun upward mobil,Good company to work for,good,False,False,False,False,False
Walking the Walk with Culture and Values,2024-10-04,"- Incredibly kind, passionate people -Commitment and action related to ESG, as well as diversity, equity, inclusion and belonging - Focus on embracing change and doing things differently","- Leaders don't effectively model a healthy work-life balance - Health insurance options are surprisingly very limited given company size - The company lives by innovation, but at times decisions feel more influenced by leaders' personal preferences","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"- Incredibly kind, passionate people -Commitment and action related to ESG, as well as diversity, equity, inclusion and belonging - Focus on embracing change and doing things differently",incred passion commit action relat well inclus belong focu embrac chang thing differ,"- Leaders don't effectively model a healthy work-life balance - Health insurance options are surprisingly very limited given company size - The company lives by innovation, but at times decisions feel more influenced by leaders' personal preferences",leader effect model healthi life balanc health insur option surprisingli limit given size live time decis feel influenc leader person prefer,Walking the Walk with Culture and Values,walk walk cultur valu,False,False,False,False,False
10/10 company to work for,2025-09-18,"Company culture, career advancement/upward mobility, seamless cross team communication, trust instilled in employees","None come to mind, truly a great place to work!","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Company culture, career advancement/upward mobility, seamless cross team communication, trust instilled in employees",career advanc upward seamless cross team trust instil employe,"None come to mind, truly a great place to work!",none come truli great place,10/10 company to work for,,False,False,True,False,False
"Great culture, teams run lean, growth opportunities limited",2025-11-06,Great culture - collaborative and generally good people Team runs lean so you get do own more but means hard work and long hours (potentially),"Growth opportunities limited, some managers need work","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great culture - collaborative and generally good people Team runs lean so you get do own more but means hard work and long hours (potentially),great cultur collabor gener good team run lean mean hard long hour potenti,"Growth opportunities limited, some managers need work",growth opportun manag need,"Great culture, teams run lean, growth opportunities limited",great team run growth opportun limit,False,False,True,False,True
"Great place to work, awesome culture, and innovative company",2024-09-04,"Prologis is a great place to work and leader in the industry. Our leadership team drives a thriving, focused culture to perform and meet / exceed market expectations","As with any company, remote and spread out working makes community harder but Prologis seeks to pull together virtually as best possible with initiatives like our IMPACT days.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is a great place to work and leader in the industry. Our leadership team drives a thriving, focused culture to perform and meet / exceed market expectations",prolog great place leader leadership team drive focus cultur perform meet exceed market expect,"As with any company, remote and spread out working makes community harder but Prologis seeks to pull together virtually as best possible with initiatives like our IMPACT days.",remot spread make commun harder prolog seek pull togeth virtual best possibl initi impact,"Great place to work, awesome culture, and innovative company",great place awesom innov,False,True,True,False,False
Takes great care of employees,2024-09-05,"Lots of perks including great benefits, team building events, culture, etc","Since it is a global company, policies sometimes seem politically driven","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Lots of perks including great benefits, team building events, culture, etc",lot perk includ great team build etc,"Since it is a global company, policies sometimes seem politically driven",sinc global polici sometim seem polit driven,Takes great care of employees,take great care employe,False,False,True,False,False
Excellent Company,2024-09-12,"Prologis provides employees with resources and trust to succeed. The people at Prologis are intelligent, approachable, and professional. Everyone cares about doing the right thing and has a competitive spirit for success.",The performance rating scale can be difficult to understand.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis provides employees with resources and trust to succeed. The people at Prologis are intelligent, approachable, and professional. Everyone cares about doing the right thing and has a competitive spirit for success.",prolog provid employe resourc trust prolog everyon care right thing competit spirit,The performance rating scale can be difficult to understand.,perform scale difficult,Excellent Company,excel,False,False,True,False,False
Energizing People and Portfolios,2025-06-13,"Working at Prologis has been one of the most rewarding experiences of my career. The company truly values both its clients and employees, and that shows up in everything we do. What I appreciate most is how grounded we are in our core values of integrity, accountability, passion and teamwork while always looking ahead and embracing change. I’ve felt empowered to ask bold questions, bring new ideas forward and collaborate with incredibly thoughtful and driven teammates. The culture here is proactive, supportive and genuinely human. Prologis doesn't just talk about making an impact, we live it every day together","Prologis moves at such a fast pace and sets a high bar for performance, it can take time to adjust if you're new to the industry or not used to cross-functional collaboration. The environment expects proactive thinking, which is incredibly rewarding, but also requires you to stay sharp and flexible.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Working at Prologis has been one of the most rewarding experiences of my career. The company truly values both its clients and employees, and that shows up in everything we do. What I appreciate most is how grounded we are in our core values of integrity, accountability, passion and teamwork while always looking ahead and embracing change. I’ve felt empowered to ask bold questions, bring new ideas forward and collaborate with incredibly thoughtful and driven teammates. The culture here is proactive, supportive and genuinely human. Prologis doesn't just talk about making an impact, we live it every day together",prolog reward experi truli valu client show everyth appreci ground core valu passion teamwork alway look ahead embrac felt empow ask bold bring new idea forward collabor incred thought driven cultur support genuin prolog talk make live everi day togeth,"Prologis moves at such a fast pace and sets a high bar for performance, it can take time to adjust if you're new to the industry or not used to cross-functional collaboration. The environment expects proactive thinking, which is incredibly rewarding, but also requires you to stay sharp and flexible.",prolog move fast pace set high bar take adjust new industri use cross function environ expect proactiv incred requir stay sharp,Energizing People and Portfolios,energ portfolio,False,True,False,False,False
Yes- It really is one of the best places to work,2024-09-13,"The people are great to work with and have genuine engagement and are excited to be at work. It seems like a smaller company, as an employee you feel like your wellbeing is a priority.","There are times when the work life balance can be off, but that's not a consistent event, but has to do with the inevitability of uneven workload over the course of the year.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The people are great to work with and have genuine engagement and are excited to be at work. It seems like a smaller company, as an employee you feel like your wellbeing is a priority.",great genuin engag excit seem smaller feel wellb,"There are times when the work life balance can be off, but that's not a consistent event, but has to do with the inevitability of uneven workload over the course of the year.",time life balanc consist inevit uneven workload cours,Yes- It really is one of the best places to work,ye realli best place,False,False,False,False,False
Amazing place to work!,2025-07-01,"Beautiful offices all over the world Great culture and leaders Smart people, lots of innovators Opportunities to grow or move around the company",Middle management could use more training Upper management could encourage more of a work/life balance,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Beautiful offices all over the world Great culture and leaders Smart people, lots of innovators Opportunities to grow or move around the company",beauti offic world great cultur leader smart lot innov opportun grow move around,Middle management could use more training Upper management could encourage more of a work/life balance,middl manag use train upper manag encourag life balanc,Amazing place to work!,amaz place,False,False,False,False,False
Fun place to work,2024-10-13,"Smart people, wide variety of things to be involved in, flexible culture","Fast-paced, but I enjoy that","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Smart people, wide variety of things to be involved in, flexible culture",smart wide varieti thing involv flexibl cultur,"Fast-paced, but I enjoy that",fast enjoy,Fun place to work,fun place,False,False,False,False,False
A company to grow with,2024-09-13,"- working with colleagues who really feel like a second family - lots of opportunity to learn and grow within the company. There are people in this organization who are 10+, 15+ and even 20+ years here; they are a wealth of knowledge - Prologis embraces change and innovatoin - constantly adapting and trying new things before others in the industry. - Fun, diverse environment where I feel comfortable to voice my opinion and thoughts at any level and know I will be heard. - No day is the same - promotes a work-life balance with PTO and 3 summer 1/2 days. -encourages volunteer work and Prologis Impact Day","- the work ebbs and flows, some days do feel heavier.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"- working with colleagues who really feel like a second family - lots of opportunity to learn and grow within the company. There are people in this organization who are 10+, 15+ and even 20+ years here; they are a wealth of knowledge - Prologis embraces change and innovatoin - constantly adapting and trying new things before others in the industry. - Fun, diverse environment where I feel comfortable to voice my opinion and thoughts at any level and know I will be heard. - No day is the same - promotes a work-life balance with PTO and 3 summer 1/2 days. -encourages volunteer work and Prologis Impact Day",colleagu realli feel second famili lot opportun learn grow within organ even year wealth knowledg prolog embrac chang innovatoin constantli adapt tri new thing other divers environ feel comfort voic opinion thought level know day promot life balanc pto summer encourag volunt prolog impact day,"- the work ebbs and flows, some days do feel heavier.",ebb day feel,A company to grow with,grow,False,False,False,False,True
Acquisitions and Development Analyst,2025-09-04,"- Lots of responsibility given to their employees. Team provides you lots of real, impactful work. - As an analyst in your first year, you can be playing a significant role on very large transactions. - Incredibly supportive culture that helps you learn and is open to you asking questions (incredibly rare to find in finance facing roles). - Unbelievable exposure to wide range of business lines. - Be at the cusp of innovation with the commercial real estate business, AI in real estate, ect.",- Lots of quarterly projects that the analysts have to handle and complete due to being a large public company.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"- Lots of responsibility given to their employees. Team provides you lots of real, impactful work. - As an analyst in your first year, you can be playing a significant role on very large transactions. - Incredibly supportive culture that helps you learn and is open to you asking questions (incredibly rare to find in finance facing roles). - Unbelievable exposure to wide range of business lines. - Be at the cusp of innovation with the commercial real estate business, AI in real estate, ect.",lot respons given team provid lot impact analyst first play signific role larg incred support cultur help learn open ask question incred rare find financ face role unbeliev exposur wide rang busi cusp innov commerci real estat ai real,- Lots of quarterly projects that the analysts have to handle and complete due to being a large public company.,lot quarterli project analyst handl complet due larg public,Acquisitions and Development Analyst,acquisit develop analyst,True,True,True,False,False
The type of company you want to work at for decades,2025-09-05,"Dedicated, brilliant and engaged leadership team, amazing work-life balance, competitive pay and agile teams.","Not necessarily a con because it is just a part of being at such a fast-growing company, but there could be strong communication across business lines. This is something that the company is clearly working on as a part of its strategic growth of new business lines.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Dedicated, brilliant and engaged leadership team, amazing work-life balance, competitive pay and agile teams.",brilliant engag leadership amaz life competit pay agil,"Not necessarily a con because it is just a part of being at such a fast-growing company, but there could be strong communication across business lines. This is something that the company is clearly working on as a part of its strategic growth of new business lines.",necessarili con part fast grow strong commun across busi someth clearli part strateg growth new busi,The type of company you want to work at for decades,type want decad,False,True,False,True,False
A job,2024-08-26,You get paid on time,The company is full of people who don't know how to do their jobs.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,You get paid on time,paid,The company is full of people who don't know how to do their jobs.,full know,A job,,False,False,False,False,False
Would give 6 stars if I could,2025-03-19,"- Smart, caring leaders - Interesting work - Fantastic culture","- So much to do, so little time - Meeting heavy","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"- Smart, caring leaders - Interesting work - Fantastic culture",care leader interest fantast cultur,"- So much to do, so little time - Meeting heavy",much littl meet heavi,Would give 6 stars if I could,give star,False,False,False,False,False
So many opportunities!,2025-09-15,-Supportive and collaborative colleagues -Wide range of career growth opportunities -Excellent benefits package -Engaging and enjoyable office events -Modern and well-designed office spaces -Leadership that genuinely values and supports employees,"I'm still fairly new, so no cons so far...","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,-Supportive and collaborative colleagues -Wide range of career growth opportunities -Excellent benefits package -Engaging and enjoyable office events -Modern and well-designed office spaces -Leadership that genuinely values and supports employees,support collabor colleagu wide rang career growth opportun excel benefit packag engag enjoy offic event modern well design offic space leadership genuin valu support employe,"I'm still fairly new, so no cons so far...",still fairli con,So many opportunities!,mani,False,True,False,True,False
